route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
11682,201,weekday_75,OWINGS MILLS STATION (METRO),,1,310,jhom,1,1
11682,201,weekday_76,JOHNS HOPKINS STATION (METRO),,0,310,omjh,1,1
11682,201,weekday_77,OWINGS MILLS STATION (METRO),,1,310,jhom,1,1
11682,201,weekday_78,JOHNS HOPKINS STATION (METRO),,0,310,omjh,1,1
11682,201,weekday_79,OWINGS MILLS STATION (METRO),,1,309,rpom,1,1
11682,201,weekday_80,JOHNS HOPKINS STATION (METRO),,0,309,omjh,1,1
11682,201,weekday_81,OWINGS MILLS STATION (METRO),,1,309,jhom,1,1
11682,201,weekday_82,JOHNS HOPKINS STATION (METRO),,0,309,omjh,1,1
11682,201,weekday_83,OWINGS MILLS STATION (METRO),,1,309,jhom,1,1
11682,201,weekday_84,JOHNS HOPKINS STATION (METRO),,0,309,omjh,1,1
11682,201,weekday_85,OWINGS MILLS STATION (METRO),,1,309,jhom,1,1
11682,201,weekday_86,JOHNS HOPKINS STATION (METRO),,0,309,omjh,1,1
11682,201,weekday_87,OWINGS MILLS STATION (METRO),,1,309,jhom,1,1
11682,201,weekday_88,JOHNS HOPKINS STATION (METRO),,0,309,omjh,1,1
11682,201,weekday_89,OWINGS MILLS STATION (METRO),,1,309,jhom,1,1
11682,201,weekday_90,JOHNS HOPKINS STATION (METRO),,0,309,omjh,1,1
11682,201,weekday_91,OWINGS MILLS STATION (METRO),,1,309,jhom,1,1
11682,201,weekday_92,JOHNS HOPKINS STATION (METRO),,0,309,omjh,1,1
11682,201,weekday_93,OWINGS MILLS STATION (METRO),,1,309,jhom,1,1
11682,201,weekday_94,JOHNS HOPKINS STATION (METRO),,0,309,omjh,1,1
11682,201,weekday_95,OWINGS MILLS STATION (METRO),,1,309,jhom,1,1
11682,201,weekday_96,JOHNS HOPKINS STATION (METRO),,0,309,omjh,1,1
11682,201,weekday_97,OWINGS MILLS STATION (METRO),,1,309,jhom,1,1
11682,201,weekday_98,JOHNS HOPKINS STATION (METRO),,0,309,omjh,1,1
11682,201,weekday_99,OWINGS MILLS STATION (METRO),,1,309,jhom,1,1
11682,201,weekday_100,JOHNS HOPKINS STATION (METRO),,0,303,rpjh,1,1
11682,201,weekday_101,OWINGS MILLS STATION (METRO),,1,303,jhom,1,1
11682,201,weekday_102,JOHNS HOPKINS STATION (METRO),,0,303,omjh,1,1
11682,201,weekday_103,OWINGS MILLS STATION (METRO),,1,303,jhom,1,1
11682,201,weekday_104,JOHNS HOPKINS STATION (METRO),,0,303,omjh,1,1
11682,201,weekday_105,OWINGS MILLS STATION (METRO),,1,303,jhom,1,1
11682,201,weekday_106,JOHNS HOPKINS STATION (METRO),,0,303,omjh,1,1
11682,201,weekday_107,OWINGS MILLS STATION (METRO),,1,303,jhom,1,1
11682,201,weekday_108,OWINGS MILLS STATION (METRO),,1,307,rpom,1,1
11682,201,weekday_109,JOHNS HOPKINS STATION (METRO),,0,307,omjh,1,1
11682,201,weekday_110,OWINGS MILLS STATION (METRO),,1,307,jhom,1,1
11682,201,weekday_111,JOHNS HOPKINS STATION (METRO),,0,307,omjh,1,1
